Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Change
2021-01-04 00:00:00-05:00,130.56320464420665,130.65120801377864,123.95290271141998,126.54421997070312,143301900,0.0,0.0,0.0
2021-01-05 00:00:00-05:00,126.03571704206242,128.8226094660816,125.58589722438096,128.1087646484375,97664900,0.0,0.0,1.564544677734375
2021-01-06 00:00:00-05:00,124.89165579181233,128.14791509728727,123.58132606551794,123.79645538330078,155088000,0.0,0.0,-4.312309265136719
2021-01-07 00:00:00-05:00,125.51746094781775,128.7150507858994,125.02853347683389,128.02076721191406,109578200,0.0,0.0,4.224311828613281
2021-01-08 00:00:00-05:00,129.49732241128856,129.6929053357967,127.3460445296394,129.12574768066406,105158200,0.0,0.0,1.10498046875
2021-01-11 00:00:00-05:00,126.32907435173448,127.28736795641814,125.65435209710164,126.12371826171876,100384500,0.0,0.0,-3.0020294189452983
2021-01-12 00:00:00-05:00,125.65436391286995,126.81801371699186,124.05068235548652,125.94772338867188,91951100,0.0,0.0,-0.1759948730468892
2021-01-13 00:00:00-05:00,125.90857388238231,128.5390055815667,125.64456383946846,127.9914093017578,88636800,0.0,0.0,2.0436859130859233
2021-01-14 00:00:00-05:00,127.90345103718111,128.0990190744919,125.90861826231033,126.05530548095705,90221800,0.0,0.0,-1.9361038208007528
2021-01-15 00:00:00-05:00,125.92815194797302,127.33626538147004,124.18757143181185,124.32447052001952,111598500,0.0,0.0,-1.7308349609375284
2021-01-19 00:00:00-05:00,124.9503184351622,125.8597314002734,124.12892376536658,124.99921417236328,90757300,0.0,0.0,0.6747436523437642
2021-01-20 00:00:00-05:00,125.81080468651363,129.5559904365566,125.70324005950894,129.10617065429688,104319500,0.0,0.0,4.106956481933594
2021-01-21 00:00:00-05:00,130.83698261117812,136.57698583657466,130.63162652639653,133.8389892578125,120150900,0.0,0.0,4.732818603515625
2021-01-22 00:00:00-05:00,133.26208668957645,136.75303642382855,132.02999468266142,135.9903106689453,114459400,0.0,0.0,2.1513214111328125
2021-01-25 00:00:00-05:00,139.9016920539313,141.87694798792052,133.5162865440687,139.7550048828125,157611700,0.0,0.0,3.7646942138671875
2021-01-26 00:00:00-05:00,140.41995882769103,141.10445422096296,138.2393318250726,139.9897003173828,98390600,0.0,0.0,0.2346954345703125
2021-01-27 00:00:00-05:00,140.25373432297877,141.10447831211278,137.30062299054427,138.91407775878906,140843800,0.0,0.0,-1.07562255859375
2021-01-28 00:00:00-05:00,136.43033358916676,138.8456366294971,133.67277533095648,134.05413818359375,142621100,0.0,0.0,-4.8599395751953125
